photo_id,business_id,caption,label
zsvj7vloL4L5jhYyPIuVwg,Nk-SJhPlDBkAZvfsADtccA,Nice rock artwork everywhere and craploads of taps.,inside
HCUdRJHHm_e0OCTlZetGLg,yVZtL5MmrpiivyCIrVkGgA,,outside
pve7D6NUrafHW3EAORubyw,SZU9c8V2GuREDN5KgyHFJw,Shrimp scampi,food
wZ29mUm6nKz566j17OBadw,jl38yx7zzMRbg-kOK8NLDw,,food
QRUgAISgYLQJ9SK2yOwomw,-9NmUeTphyS9Lq1o9MACGw,,inside
bb7o8kXXXqc-8PWU6_wcuA,RRCgIohWjaeGtlbpcYJBbw,,inside
mcjlyGuLFJ0t4vDixycCSg,p2J__JQ_mN5lVd7iGXYgGA,,inside
3ROd5PAQ_0OkmoKWVO06ag,u9vhzYtXpfyvAOAMnyy-Cw,Inside reception,inside
yED5k8-aiPcgiUKoPRfJgg,GMVFik6o0Kh38ztkCkFi8g,,inside
9kVdBkGWcKfCFzSwUXjQyw,iryqT-RFwl7erA4MDAuLyg,The Korrito! Korean BBQ sushi made burrito size!,food
dxIzVOEowFFsg2RmgFJZdQ,H3WJK0fpoPrIotWqOG_yIA,,food
xiyqMEgTl4B4ux047E_zqw,Ghn6flCdNlOchzLA29tkjQ,Piedmont Salad--serious yum factor,food
J1rqVl8pAoMJtPfGA2HV9w,jkGQQ4_LgJx3hwPtCFkzbQ,,outside
0hhqi5rESZrXw3rJTrJ1gw,-1PG6k_iezwJmRZLB7f6og,Bulgogi steak tacos. Delicious!!!,food
XnStHMYUJEnb2t-6gCB6Hg,I5jxUHS1Dp2rg40eDzyiCA,Lamb Chops,food
T_QaBsquJlzAQd5bbCrLfA,jwpZzqoPFLuHE-FwLp41cQ,Courtyard at Bistro di Marino,outside
iham6y34EzijhaUrDfCyEQ,rKx-J2H54p2eZIdn8JvJuA,This was the shareable drink called One Big Swizzle! So fun!!,food
fjiXIlT0lK42ATbLABQczw,f7Uq0U8iZV0nn9qFVBFWcQ,Juice for all ages!,outside
RfYbpxLAahPIm2mToLRvqQ,q5dSzxE6grwCzu23_PlesA,Eel with Rice - $14.00,food
Y1IwwiOqDy5wtUrmao6UgQ,IIg_XileiB4DRqlTAuVdMQ,Bonanza Dice table in their casino Pit.,inside
JzLZ17Epk1N3dDNqn1_R4A,2R3VHZy6yys7iS8SuSMbbQ,Wings,food
GBVORD8dr33TxT0qKwMOjQ,VaO-VW3e1kARkU9bP1E7Fw,,food
2umAMd6B-CJocU-62YikVA,7GSOAWAlmIvKdbAVFBL_Cw,Unique Atmosphere,inside
z9oNVEvNavXP5Yw3GRvYTg,3Vd57ANDvkfct_4tWMItZg,,food
56xUu0i5oOBj9GdZqIg9_w,WMkiheTT-8kRslImVLWMVw,View from outside.,outside
UEwMittQNRLc9956JjphpQ,5zqvErekexa_89W6-6uZ4g,Comfy booths and chairs,inside
KKvlBZUqxW3yELiFd3PVzQ,ImO3aF_axcKe5pwFf-jQeQ,Dinner,food
xqkg5INxPk4_ZWxIaO8tPQ,5QefK7gbedeBiqsYJW54Bw,Park,outside
J0rm3mI98dISWsbmQaZWjw,M6ZoEY54OKKPq9O9Boee7g,,food
0X3OPkfBWeIDGH24__1scA,adu5voMt1rln1nilzZh9uA,,food
fzOiwUnM3YPXA4bM4JNoaQ,rM6bpwEQ8ybn3npCnFfY4w,,food
eC5GCjxXuOAciLsZG-iZVg,EfYHJN8e-VRIfWyML19gSg,,inside
Kw4cqVChYxm4mSxAimHiNA,sr-5EY6bmp4jINhea06MjA,Inside seating,inside
OA3p3QvTK_I7QFZ51iJoKA,pwMejZZUizAZ4aOADafVPg,Cajun shrimp,food
